country,year,medal,count,population
Ukraine,2008,Gold,10,46258200
United States of America,1964,Silver,39,191889000
Estonia,2008,Silver,2,1337090
Canada,1960,Bronze,1,17909009
Bulgaria,1960,Silver,3,7867374
Iran,2008,Gold,1,72120604
Kazakhstan,1996,Gold,3,15577894
Sweden,1980,Gold,6,8310531
Switzerland,1964,Silver,4,5789228
Canada,1998,Bronze,7,30155173
Egypt,2012,Silver,2,86422240
Russia,1988,Bronze,111,146857000
Sweden,1972,Gold,5,8122300
New Zealand,2012,Bronze,15,4408100
Costa Rica,2000,Bronze,2,3962372
Netherlands,1992,Gold,6,15184166
United States of America,1980,Bronze,2,227225000
Japan,1968,Gold,16,101061000
Kazakhstan,2012,Silver,1,16792089
Bulgaria,2008,Bronze,3,7492561
Japan,1992,Silver,10,124229000
Czech Republic,2006,Bronze,24,10238905
Latvia,1996,Silver,1,2457222
Canada,1992,Bronze,15,28371264
Austria,2004,Bronze,1,8171966
Sweden,1976,Gold,9,8222286
Switzerland,2014,Gold,6,8188649
United Kingdom,1968,Gold,9,55211700
South Africa,2000,Bronze,3,44967708
Sweden,1998,Bronze,5,8850974
Sweden,2006,Bronze,8,9080505
Brazil,2008,Bronze,30,192030362
Belgium,1968,Bronze,2,9618756
Uzbekistan,2008,Bronze,3,27302800
Uzbekistan,1996,Silver,1,23225000
Poland,2016,Gold,3,37970087
Slovenia,2010,Bronze,1,2048583
Japan,1984,Bronze,31,120018000
Uganda,2012,Gold,1,34559168
Georgia,2012,Gold,1,3728874
North Korea,2016,Gold,2,25307744
Italy,2010,Bronze,3,59277417
Germany,1980,Silver,101,78288576
Germany,1984,Gold,46,77858685
United States of America,1968,Gold,100,200706000
United Kingdom,1984,Silver,20,56422072
Portugal,2004,Silver,2,10483861
Finland,1976,Bronze,1,4725664
Austria,1994,Silver,3,7936118
United Kingdom,1980,Silver,18,56314216
Kuwait,2012,Bronze,1,3348853
Canada,1972,Silver,3,22218463
Canada,1992,Gold,32,28371264
Netherlands,1996,Bronze,26,15530498
Argentina,2008,Gold,20,40080160
Mexico,1972,Silver,1,54689943
China,1992,Bronze,19,1164970000
Switzerland,2008,Gold,3,7647675
France,2000,Bronze,14,60912500
Croatia,2016,Silver,15,4174349
United States of America,1984,Bronze,50,235825000
Russia,2000,Silver,67,146596557
Cuba,2000,Gold,18,11126430
Germany,1984,Silver,89,77858685
Switzerland,1968,Bronze,17,6067714
France,2014,Bronze,10,66316100
Finland,1976,Gold,9,4725664
Germany,1996,Silver,35,81914831
Belgium,2004,Gold,1,10421137
Australia,1984,Bronze,31,15544000
Czech Republic,1960,Silver,8,9602006
Cuba,1996,Gold,37,10939293
South Korea,1968,Silver,1,30838302
Malaysia,2016,Silver,7,30684804
Guatemala,2012,Silver,1,15270778
North Korea,1972,Silver,1,15207771
France,1976,Gold,5,54220022
New Zealand,1996,Silver,2,3732000
Thailand,1976,Bronze,1,43377271
Norway,1984,Gold,6,4140099
North Korea,1964,Silver,1,12282419
France,2014,Silver,4,66316100
Estonia,2000,Gold,1,1396985
Uzbekistan,2016,Gold,4,31847900
Cuba,1996,Silver,8,10939293
United States of America,2012,Gold,145,313874218
Austria,1968,Bronze,7,7415403
Czech Republic,1996,Silver,5,10315241
Austria,2000,Gold,3,8011566
Canada,1988,Bronze,18,26791747
Ethiopia,1992,Gold,1,51423585
Turkey,2016,Bronze,4,79821724
Italy,1964,Gold,14,51675350
Russia,2006,Bronze,13,143049528
Italy,1968,Bronze,20,53235750
Norway,2008,Bronze,1,4768212
Russia,1992,Bronze,81,148689000
Canada,2002,Silver,7,31360079
Germany,1994,Gold,18,81438348
Kenya,2000,Silver,3,31964557
Ethiopia,1996,Bronze,1,58883530
China,2006,Silver,5,1311020000
United States of America,2012,Silver,57,313874218
Bulgaria,2012,Silver,1,7305888
Netherlands,2000,Silver,29,15925513
Tanzania,1980,Silver,2,18538259
Finland,1994,Bronze,29,5088333
Brazil,2008,Silver,34,192030362
Austria,1964,Gold,5,7223801
Trinidad,1964,Bronze,5,902613
Colombia,2012,Gold,1,46076848
Czech Republic,2000,Bronze,4,10255063
Canada,2016,Gold,4,36109487
Estonia,2000,Bronze,2,1396985
Germany,1976,Silver,89,78336950
Iran,1992,Bronze,2,58780370
Spain,1984,Gold,2,38330364
Germany,1960,Bronze,23,72814900
Sweden,2008,Bronze,2,9219637
Spain,1960,Bronze,14,30455000
Philippines,2016,Silver,1,103663927
Turkey,2016,Silver,3,79821724
Venezuela,1984,Bronze,3,16876703
Switzerland,2004,Silver,2,7389625
Switzerland,2014,Bronze,20,8188649
United States of America,1992,Silver,57,256514000
Iran,2004,Silver,2,68951281
Serbia,2016,Gold,14,7058322
Ethiopia,2000,Silver,1,66224804
Russia,1998,Gold,14,147670692
Russia,1976,Gold,152,135147000
Switzerland,2004,Gold,1,7389625
Kenya,1988,Bronze,2,22153676
Russia,2010,Bronze,14,142849449
Norway,1960,Silver,6,3581239
Hungary,1988,Gold,20,10596487
Japan,1968,Bronze,22,101061000
Netherlands,2012,Gold,21,16754962
United Kingdom,2008,Gold,31,61806995
Zimbabwe,2008,Gold,1,12379549
United Kingdom,2012,Silver,30,63700300
Canada,2012,Gold,1,34714222
New Zealand,2000,Bronze,3,3857700
Romania,1984,Silver,31,22655940
Canada,1998,Gold,14,30155173
Austria,1996,Bronze,2,7959017
Argentina,1972,Silver,1,24653175
Bulgaria,1968,Bronze,3,8369603
China,2016,Silver,30,1378665000
Russia,1996,Silver,45,148160042
Ghana,1972,Bronze,1,9229631
Denmark,1976,Bronze,5,5072596
United States of America,2014,Bronze,24,318386421
Netherlands,2006,Gold,3,16346101
Singapore,2016,Gold,1,5607283
Romania,2016,Bronze,10,19702332
Italy,1964,Silver,30,51675350
Croatia,2012,Silver,4,4267558
Uganda,1972,Silver,1,9929636
Iran,1972,Silver,2,30075297
Kazakhstan,1994,Silver,2,16095199
Slovenia,2010,Silver,2,2048583
Norway,1964,Silver,6,3694339
Brazil,1984,Gold,1,132383568
United States of America,2010,Gold,12,309326085
Sweden,1984,Bronze,34,8336605
Czech Republic,1964,Silver,37,9727804
Turkey,2008,Silver,3,70418604
Canada,1992,Silver,33,28371264
Kazakhstan,1998,Bronze,2,15071300
Turkey,2016,Gold,1,79821724
Switzerland,1988,Silver,13,6593386
Jamaica,1992,Bronze,1,2461049
Greece,2000,Silver,6,10805808
Russia,1972,Gold,143,131909000
Cuba,2004,Bronze,22,11250365
Switzerland,1980,Bronze,3,6319408
Bahamas,2016,Bronze,5,377931
South Korea,2008,Bronze,26,49054708
Norway,1996,Gold,2,4381336
China,2014,Silver,4,1364270000
Ireland,2000,Silver,1,3805174
Syria,1960,Bronze,1,4573512
Turkey,1988,Gold,1,52053765
Finland,2008,Silver,2,5313399
Mongolia,2004,Bronze,1,2496391
Denmark,1988,Gold,3,5129516
Japan,2008,Gold,23,128063000
Switzerland,1960,Gold,2,5327827
Dominican Republic,2012,Gold,1,9930911
Bulgaria,1992,Gold,3,8540164
Switzerland,2006,Silver,7,7483934
Mexico,1968,Silver,3,48431972
Japan,1968,Silver,25,101061000
Russia,1960,Gold,68,119897000
France,2000,Gold,22,60912500
Australia,1994,Bronze,4,17855000
Denmark,2016,Gold,15,5728010
Ireland,2008,Silver,1,4489544
Hungary,2016,Gold,12,9814023
Iran,2008,Bronze,1,72120604
Lithuania,1996,Bronze,11,3601613
United Kingdom,2004,Silver,25,59987905
Tunisia,1968,Bronze,1,4845219
Germany,2014,Bronze,9,80982500
India,2004,Silver,1,1129623456
Poland,1992,Silver,22,38363667
Malaysia,2008,Silver,1,27236006
Japan,1960,Gold,9,92500572
Australia,2012,Bronze,59,22733465
Trinidad,2008,Gold,5,1314443
Czech Republic,1988,Bronze,8,10355276
Poland,1976,Gold,18,34356300
Argentina,2012,Bronze,3,41733271
Vietnam,2008,Silver,1,86243413
Australia,2008,Bronze,76,21249200
Brazil,2012,Bronze,11,199287296
Iran,1996,Gold,1,62294920
Netherlands,1984,Silver,7,14424211
Tajikistan,2012,Bronze,1,7874835
Vietnam,2016,Gold,1,93638724
Netherlands,2006,Silver,2,16346101
Israel,2004,Bronze,1,6809000
Russia,1960,Bronze,73,119897000
Iran,2016,Gold,3,79564016
United States of America,2016,Silver,54,323071342
Bulgaria,1998,Gold,1,8256786
China,1984,Silver,13,1036825000
Serbia,1996,Silver,12,7617794
South Korea,1992,Silver,6,43747962
France,2014,Gold,4,66316100
Poland,1980,Bronze,22,35574150
Belgium,1988,Bronze,2,9901664
Netherlands,2004,Bronze,22,16281779
Slovakia,2006,Silver,1,5373054
Romania,2000,Silver,6,22442971
Netherlands,2008,Gold,39,16445593
South Korea,2010,Gold,6,49554112
Norway,1984,Silver,6,4140099
Kenya,1992,Gold,2,25326078
Sweden,1994,Gold,23,8780745
United States of America,2002,Gold,11,287625193
Germany,2012,Silver,27,80425823
Cuba,2004,Gold,32,11250365
Canada,1984,Bronze,33,25607053
Spain,2016,Silver,19,46483569
Brazil,2000,Bronze,36,174790340
Poland,1996,Silver,8,38624370
Jamaica,1996,Bronze,12,2558637
United States of America,1998,Gold,25,275854000
Iran,2016,Silver,1,79564016
Turkey,1984,Bronze,3,48114155
Azerbaijan,2000,Bronze,1,8048600
Brazil,2008,Gold,14,192030362
Hungary,2000,Bronze,4,10210971
Mongolia,2008,Silver,2,2631898
South Korea,2016,Gold,13,51245707
Sweden,1960,Bronze,5,7484656
Canada,1994,Silver,29,29000663
Tajikistan,2008,Bronze,1,7209930
Czech Republic,2010,Bronze,7,10474410
Switzerland,1968,Silver,5,6067714
Estonia,2002,Silver,1,1379350
Belarus,1996,Bronze,16,10160000
Kazakhstan,2014,Bronze,1,17288285
Austria,1992,Silver,16,7840709
Australia,2012,Gold,18,22733465
Belarus,2006,Silver,1,9604924
Italy,1972,Silver,8,54381345
United States of America,1972,Bronze,46,209896000
Denmark,1976,Gold,3,5072596
Japan,2008,Silver,15,128063000
Kenya,1968,Gold,3,10539894
Poland,2000,Bronze,7,38258629
Mozambique,1996,Bronze,1,15960442
Dominican Republic,2004,Gold,1,8974444
Cuba,2000,Silver,35,11126430
Japan,1996,Bronze,13,125757000
Hungary,1960,Silver,16,9983967
United Kingdom,1960,Gold,2,52400000
Canada,1988,Gold,4,26791747
Poland,2010,Bronze,4,38042794
Finland,2000,Gold,3,5176209
Spain,2012,Silver,33,46773055
South Africa,1960,Bronze,2,17099840
Australia,2010,Silver,1,22031750
Japan,1976,Gold,25,112771000
Netherlands,1960,Bronze,3,11486631
United Kingdom,1964,Gold,6,54000000
Hungary,2012,Silver,8,9920362
Bulgaria,2000,Gold,5,8170172
Zimbabwe,2004,Silver,1,12019912
Austria,2004,Gold,3,8171966
Netherlands,1972,Silver,4,13328593
Jamaica,1988,Silver,7,2389411
Norway,2010,Gold,16,4889252
Argentina,1988,Bronze,12,31668949
United Kingdom,1988,Bronze,15,56928327
Norway,2002,Bronze,7,4538159
France,2016,Gold,20,66859768
France,1998,Silver,1,60186288
Argentina,1960,Silver,3,20481779
Sweden,2004,Silver,5,8993531
Netherlands,2010,Gold,4,16615394
Canada,2016,Bronze,61,36109487
Italy,2016,Silver,40,60627498
Ethiopia,2008,Silver,1,82916235
Thailand,1996,Bronze,1,60130186
Poland,1992,Bronze,19,38363667
Austria,1998,Gold,3,7976789
Iceland,2000,Bronze,1,281205
Germany,2008,Bronze,41,82110097
Netherlands,2014,Gold,13,16865008
Canada,1998,Silver,28,30155173
Switzerland,2000,Gold,1,7184250
Croatia,2000,Gold,1,4468302
Poland,1964,Silver,13,31139450
Argentina,2004,Bronze,21,38491972
Russia,1968,Silver,69,128928000
Algeria,1992,Gold,1,27028326
Russia,1980,Bronze,133,139010000
United States of America,2002,Silver,58,287625193
Argentina,2012,Gold,1,41733271
Kenya,2000,Bronze,2,31964557
Costa Rica,1996,Gold,1,3632362
Japan,1996,Gold,3,125757000
Canada,1972,Bronze,9,22218463
United Kingdom,1984,Bronze,42,56422072
China,2010,Bronze,7,1337705000
Australia,1972,Silver,7,13177000
France,1976,Bronze,9,54220022
Germany,2002,Bronze,12,82488495
Morocco,1992,Silver,1,25711406
Israel,1996,Bronze,1,5692000
United States of America,1984,Silver,121,235825000
Norway,2010,Silver,14,4889252
United States of America,1988,Bronze,58,244499000
Hungary,1972,Gold,10,10398489
Bulgaria,1972,Silver,10,8576200
Italy,1976,Bronze,5,55718260
Romania,2008,Silver,1,20537875
Lithuania,2008,Bronze,3,3198231
South Korea,2004,Silver,28,48082519
Mexico,1976,Gold,1,61242190
Germany,2000,Bronze,64,82211508
Italy,2012,Silver,22,59539717
Canada,2004,Gold,3,31940655
Denmark,1992,Bronze,9,5171370
France,1992,Bronze,44,58851217
Mongolia,1972,Silver,1,1356670
Cuba,2008,Silver,34,11236971
Russia,1994,Silver,13,148336000
Hungary,1964,Bronze,7,10119835
Slovakia,2016,Gold,3,5430798
South Korea,1988,Bronze,12,42031247
Finland,1984,Bronze,18,4881803
Pakistan,1960,Gold,13,44988690
Germany,1968,Bronze,44,77294314
Ireland,1964,Bronze,1,2866550
Sweden,2000,Bronze,8,8872109
Norway,1996,Bronze,18,4381336
South Korea,1994,Silver,1,44641540
Brazil,2016,Bronze,6,206163058
Iran,1992,Silver,1,58780370
Russia,2002,Gold,6,145306046
Netherlands,1976,Silver,4,13774037
North Korea,1972,Gold,1,15207771
Japan,1996,Silver,26,125757000
Sweden,2002,Bronze,24,8924958
Ukraine,2000,Bronze,12,49175848
Ukraine,1994,Gold,1,51921041
Iran,1972,Bronze,1,30075297
Greece,1980,Bronze,4,9642505
Hungary,1968,Bronze,29,10255815
United States of America,1972,Gold,72,209896000
Czech Republic,1996,Gold,4,10315241
Lithuania,2016,Bronze,5,2868231
Japan,2006,Gold,1,127854000
Turkey,2004,Bronze,5,67010930
Poland,2006,Bronze,1,38141267
Denmark,1964,Silver,1,4722072
Czech Republic,1960,Bronze,11,9602006
Switzerland,1994,Silver,8,6993795
Kazakhstan,1996,Silver,4,15577894
Japan,2000,Gold,5,126843000
Kenya,1992,Bronze,2,25326078
Switzerland,1972,Silver,11,6260956
Iran,2004,Gold,2,68951281
Denmark,1980,Silver,2,5123027
Denmark,2000,Gold,18,5339616
Singapore,2012,Bronze,4,5312437
Germany,1998,Gold,22,82047195
Trinidad,2016,Bronze,1,1377564
Nigeria,1996,Bronze,3,110668794
South Africa,2012,Silver,2,52834005
Niger,2016,Silver,1,20788838
Qatar,2012,Bronze,2,2196074
Belarus,2004,Gold,2,9730146
Romania,1976,Bronze,23,21551634
Brazil,1980,Gold,4,120694009
United States of America,2012,Bronze,46,313874218
North Korea,1996,Gold,2,22113438
Romania,2016,Gold,4,19702332
Mexico,1984,Gold,2,74352631
South Korea,1998,Gold,6,46286503
Switzerland,1972,Gold,7,6260956
Hungary,2000,Gold,25,10210971
Spain,1980,Gold,2,37491165
Netherlands,2008,Bronze,4,16445593
Japan,1998,Gold,8,126400000
Liechtenstein,1988,Bronze,1,28129
Kenya,2008,Bronze,5,39791981
Sweden,1992,Silver,27,8668067
France,2016,Bronze,21,66859768
Sweden,1994,Silver,1,8780745
South Africa,1992,Silver,3,38672607
Russia,1998,Silver,32,147670692
United States of America,2004,Gold,117,292805298
Kazakhstan,2004,Gold,1,15012985
Austria,1996,Silver,1,7959017
Finland,1998,Silver,7,5153498
Ukraine,2000,Silver,20,49175848
Nigeria,2016,Bronze,18,185960289
Azerbaijan,2000,Gold,2,8048600
Slovenia,2002,Bronze,4,1994530
Romania,2004,Bronze,11,21451748
Finland,1988,Gold,8,4946481
Lithuania,2000,Bronze,15,3499536
South Korea,2000,Bronze,35,47008111
Australia,2014,Bronze,1,23475686
North Korea,1980,Bronze,2,17472140
Namibia,1996,Silver,2,1663378
Croatia,2008,Silver,2,4309705
Austria,1972,Silver,3,7544201
Bulgaria,2006,Silver,1,7601022
Jamaica,1976,Silver,1,2055365
Uruguay,2000,Silver,1,3319736
United Kingdom,1998,Bronze,4,58487141
Denmark,2000,Silver,3,5339616
Belarus,2016,Silver,4,9501534
Moldova,2012,Bronze,2,3559519
United States of America,1960,Silver,27,180671000
Iran,1968,Gold,2,27032571
Ireland,2012,Gold,1,4599533
United Kingdom,2008,Silver,25,61806995
Serbia,2016,Bronze,13,7058322
Russia,2008,Gold,43,142742350
Finland,1980,Silver,6,4779535
Ukraine,2012,Bronze,12,45593300
Finland,1992,Silver,5,5041992
Cuba,1992,Bronze,14,10736387
Uzbekistan,2016,Silver,2,31847900
Germany,1988,Bronze,104,78144619
Switzerland,1984,Silver,11,6441865
Finland,1980,Bronze,11,4779535
Austria,1960,Bronze,3,7047539
Nigeria,1992,Bronze,4,100161710
Nigeria,2008,Bronze,7,150269623
France,1988,Bronze,14,57627105
Jamaica,1984,Silver,5,2306366
Malaysia,1996,Bronze,1,21017613
Switzerland,2010,Bronze,6,7824909
Sweden,1968,Bronze,7,7912273
South Africa,2012,Bronze,1,52834005
Canada,1960,Silver,26,17909009
Norway,2012,Bronze,1,5018573
Canada,2000,Bronze,23,30685730
Georgia,2012,Silver,3,3728874
Russia,1994,Gold,19,148336000
Canada,1996,Silver,30,29610218
Czech Republic,1976,Bronze,9,10125939
Grenada,2012,Gold,1,107446
Denmark,1984,Silver,3,5111619
China,2014,Gold,3,1364270000
Curacao,1988,Silver,1,149254
Japan,1976,Silver,6,112771000
New Zealand,1984,Bronze,6,3227100
Trinidad,2004,Bronze,1,1290123
Australia,1988,Silver,6,16532200
Dominican Republic,2008,Silver,1,9458075
Croatia,1996,Gold,16,4557097
Bulgaria,1996,Bronze,6,8362826
Russia,2000,Bronze,54,146596557
Slovenia,2014,Silver,2,2061980
Germany,1994,Bronze,12,81438348
Turkey,1964,Gold,2,30244261
Bulgaria,2004,Silver,1,7716860
Czech Republic,2006,Silver,2,10238905
Turkey,2000,Gold,3,63240194
Bulgaria,2008,Silver,1,7492561
Brazil,1960,Bronze,13,72179226
Czech Republic,1968,Bronze,16,9876346
Romania,1992,Bronze,14,22794284
France,1984,Gold,20,56337666
United Kingdom,2008,Bronze,25,61806995
Lithuania,1992,Bronze,12,3700114
Serbia,1996,Bronze,13,7617794
Hungary,2008,Silver,8,10038188
South Korea,1998,Silver,4,46286503
Tunisia,2016,Bronze,3,11303946
Thailand,2004,Gold,3,64995299
Suriname,1988,Gold,1,388881
France,2008,Silver,24,64374984
Georgia,2016,Bronze,4,3727505
Argentina,2016,Gold,21,43590368
Malaysia,1996,Silver,2,21017613
Ivory Coast,1984,Silver,1,9530107
China,2002,Silver,5,1280400000
Indonesia,2012,Silver,1,248452413
Poland,2014,Gold,4,38011735
Japan,2014,Gold,1,127276000
Spain,1984,Bronze,3,38330364
Poland,1976,Bronze,26,34356300
Italy,1976,Gold,3,55718260
Australia,1988,Gold,18,16532200
Mexico,2012,Silver,5,117274155
Namibia,1992,Silver,2,1516958
Netherlands,2016,Silver,25,17030314
Israel,1992,Bronze,1,5123000
Tajikistan,2016,Gold,1,8663579
Croatia,2016,Gold,7,4174349
Niger,1972,Bronze,1,4768227
Argentina,2004,Gold,28,38491972
Spain,2016,Bronze,17,46483569
Estonia,2016,Bronze,4,1315790
Czech Republic,1976,Gold,2,10125939
Japan,1992,Gold,6,124229000
Australia,1992,Silver,27,17495000
Japan,1984,Gold,10,120018000
United States of America,1976,Bronze,41,218035000
South Korea,2010,Silver,10,49554112
Cuba,1976,Silver,4,9554188
Ethiopia,2000,Bronze,3,66224804
Brazil,1976,Bronze,3,109790938
United Kingdom,2014,Silver,4,64613160
Ethiopia,2012,Bronze,3,92726971
Poland,1964,Bronze,23,31139450
Bulgaria,1976,Gold,8,8758599
Italy,1998,Bronze,5,56906744
Tunisia,1968,Gold,1,4845219
Bermuda,1976,Bronze,1,53200
Czech Republic,1984,Bronze,4,10330213
Finland,1964,Silver,7,4548543
Armenia,2012,Silver,1,2884229
Belarus,2010,Bronze,1,9490583
Brazil,2012,Silver,34,199287296
Sweden,1968,Silver,11,7912273
Kenya,1972,Bronze,4,12146068
Slovakia,2008,Gold,4,5379233
Norway,2006,Silver,9,4660677
Germany,1968,Silver,41,77294314
Bahamas,2004,Gold,1,318894
Bulgaria,2004,Gold,2,7716860
Brazil,2012,Gold,14,199287296
Czech Republic,2002,Gold,1,10196916
Italy,2000,Silver,14,56942108
Morocco,2008,Bronze,1,31536811
Netherlands,2010,Silver,1,16615394
Lithuania,2012,Bronze,2,2987773
Sweden,2012,Bronze,3,9519374
Germany,2012,Bronze,22,80425823
Greece,2016,Bronze,3,10775971
Canada,1996,Gold,8,29610218
Poland,2002,Bronze,1,38230364
Sweden,1998,Silver,2,8850974
Bulgaria,2016,Silver,1,7127822
South Korea,1994,Bronze,1,44641540
Algeria,2000,Bronze,3,31042235
Colombia,1972,Silver,1,22516425
Australia,2012,Silver,37,22733465
France,2008,Bronze,28,64374984
Denmark,1960,Silver,17,4579603
Uganda,1968,Silver,1,8841153
Poland,1992,Gold,5,38363667
Mexico,1968,Bronze,3,48431972
Romania,1980,Bronze,46,22242653
Czech Republic,2008,Silver,4,10384603
